trial_id,strategy,liquid,volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,deviation_pct,precision_cv_pct,duration_mean_s,composite_score,quality_overall,measurement_count,meets_accuracy_threshold,meets_precision_threshold,calibration_overaspirate_vol,hardware_parameters_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_blowout_vol,hardware_parameters_dispense_speed,hardware_parameters_dispense_wait_time,hardware_parameters_post_asp_air_vol,hardware_parameters_post_retract_wait_time,hardware_parameters_pre_asp_air_vol,tolerance_accuracy_pct,tolerance_precision_pct,hardware_parameters_asp_disp_cycles,hardware_parameters_retract_speed
trial_1,screening,water,0.05,50.0,0.01493693693693795,14.93693693693795,70.1261261261241,6.31193025424674,20.602549350005575,221.04355664104548,outside_tolerance,2,False,False,0.0,0.0,10,0.0,0.0,10,0.0,0.0,0.0,0.0,0,3.0,,
trial_2,screening,water,0.05,50.0,0.033793543543542554,33.793543543542555,32.4129129129149,9.71127034700006,35.301846749993274,204.63581404700807,outside_tolerance,2,False,False,0.01,0.01,30,10.0,0.0,5,0.0,0.0,0.0,0.0,0,3.0,,
trial_3,screening,water,0.05,50.0,0.06364864864864911,63.64864864864911,27.29729729729821,0.5004294275901637,57.50304149999283,109.70159784271257,partial_tolerance,2,False,True,0.010000000000000002,0.015,20,5.0,0.3,25,10.0,0.0,0.0,0.0,0,3.0,,
trial_4,screening,water,0.05,50.0,0.04779279279279415,47.79279279279415,4.414414414411705,0.13329062793071986,43.20304269998451,50.0205151881549,partial_tolerance,2,False,True,0.002,0.002,15,2.0,0.4,20,3.0,0.0,0.0,0.0,0,3.0,,
trial_5,optimization,PVA_DMSO,0.05,50.0,0.029189189189189186,29.189189189189186,41.62162162162163,14.404027024170386,24.02183864999097,265.1749214225152,outside_tolerance,2,False,False,0.0,,11,0.6000000000000001,0.386,10,0.0,0.0,0.0,0.0,0,3.0,0.0,5.0
trial_6,optimization,PVA_DMSO,0.05,50.0,0.01963963963963964,19.63963963963964,60.72072072072073,1.9461654528069792,37.75799980000011,169.40462769555995,partial_tolerance,2,False,True,0.0,,6,0.0,0.41000000000000003,21,0.0,0.0,0.0,0.0,0,3.0,0.0,5.0
trial_7,optimization,PVA_DMSO,0.05,50.0,0.03657657657657657,36.57657657657657,26.846846846846862,3.8316131000256424,37.375284499983536,128.50090510912108,outside_tolerance,2,False,False,0.0,,17,0.0,0.438,17,0.6000000000000001,0.0,0.0,0.0,0,3.0,0.0,5.0
trial_8,optimization,PVA_DMSO,0.05,50.0,0.043873873873873884,43.87387387387388,12.25225225225223,5.227072715136698,29.777658050035825,110.66073791311211,outside_tolerance,2,False,False,0.0015,,17,2.6,0.5,2,3.7,0.0,0.0,0.0,0,3.0,0.0,5.0
trial_9,optimization,PVA_DMSO,0.05,50.0,0.05451351351351351,54.51351351351351,9.027027027027012,0.9582342762732932,46.273002400033874,70.88962064467597,partial_tolerance,2,False,True,0.0078000000000000005,,18,2.3000000000000003,0.377,22,3.7,0.0,0.0,0.0,0,3.0,0.0,5.0
trial_10,optimization,PVA_DMSO,0.05,50.0,0.04720720720720721,47.20720720720721,5.585585585585591,0.269888084422354,37.09762035001768,48.046234672848236,partial_tolerance,2,False,True,0.0,,13,3.3000000000000003,0.277,19,2.0,0.0,0.0,0.0,0,3.0,0.0,5.0
trial_11,optimization,PVA_DMSO,0.05,50.0,0.04774774774774774,47.74774774774774,4.504504504504528,0.26683274761752135,46.98603164998349,55.26130577727574,partial_tolerance,2,False,True,0.0,,14,3.5,0.42,20,5.5,0.0,0.0,0.0,0,3.0,0.0,5.0
trial_12,optimization,PVA_DMSO,0.05,50.0,0.05082882882882882,50.82882882882882,1.6576576576576296,0.050131639928152776,25.244915049988776,27.212997871588364,within_tolerance,2,True,True,0.0103,,12,3.5,0.435,2,0.0,0.0,0.0,0.0,0,3.0,0.0,5.0
trial_13,optimization,PVA_DMSO,0.05,50.0,0.057972972972972964,57.97297297297296,15.945945945945923,0.7691915257662445,25.28722344999551,61.826813136972085,partial_tolerance,2,False,True,0.0198,,13,3.1,0.5,2,0.0,0.0,0.0,0.0,0,3.0,0.0,5.0
trial_14,optimization,PVA_DMSO,0.05,50.0,0.0539099099099099,53.909909909909906,7.819819819819801,0.8035304331664941,25.892082149977796,47.842944709719866,partial_tolerance,2,False,True,0.0137,,8,4.5,0.355,2,0.0,0.0,0.0,0.0,0,3.0,0.0,5.0
