timestamp,target_volume_ml,measured_volume_ml,measured_volume_ul,deviation_pct,duration_s,strategy,total_measurement_count,aspirate_speed,aspirate_wait_time,blowout_vol,dispense_speed,dispense_wait_time,overaspirate_vol,post_asp_air_vol,post_retract_wait_time,pre_asp_air_vol,retract_speed
1777240338.3532708,0.05,0.0142702702702725,14.270270270272501,71.459459459455,22.20256350003183,screening,0,10,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0
1777240338.3543253,0.05,0.0156036036036034,15.6036036036034,68.79279279279321,19.00253519997932,screening,0,10,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0
1777240338.3543253,0.05,0.0314729729729721,31.4729729729721,37.054054054055804,34.80202359997202,screening,2,30,10.0,0.0,5,0.0,0.01,0.0,0.0,0.0,0.0
1777240338.3543253,0.05,0.036114114114113,36.114114114113,27.771771771774006,35.80166990001453,screening,2,30,10.0,0.0,5,0.0,0.01,0.0,0.0,0.0,0.0
1777240338.3543253,0.05,0.0638738738738738,63.873873873873805,27.747747747747603,58.002885600028094,screening,4,20,5.0,0.3,25,10.0,0.010000000000000002,0.0,0.0,0.0,0.0
1777240338.3543253,0.05,0.0634234234234244,63.4234234234244,26.84684684684879,57.00319739995757,screening,4,20,5.0,0.3,25,10.0,0.010000000000000002,0.0,0.0,0.0,0.0
1777240338.3543253,0.05,0.04774774774775,47.74774774775,4.504504504500003,44.00261560000945,screening,6,15,2.0,0.4,20,3.0,0.002,0.0,0.0,0.0,0.0
1777240338.3543253,0.05,0.0478378378378383,47.8378378378383,4.324324324323406,42.403469799959566,screening,6,15,2.0,0.4,20,3.0,0.002,0.0,0.0,0.0,0.0
1777240374.292042,0.05,0.02621621621621622,26.216216216216218,47.567567567567565,25.26016730000265,optimization,9,11,0.6000000000000001,0.386,10,0.0,0.0,0.0,0.0,0.0,5.0
1777240399.4154258,0.05,0.03216216216216215,32.162162162162154,35.6756756756757,22.783509999979287,optimization,10,11,0.6000000000000001,0.386,10,0.0,0.0,0.0,0.0,0.0,5.0
1777240449.5655272,0.05,0.019369369369369373,19.369369369369373,61.261261261261254,37.73467779997736,optimization,11,6,0.0,0.41000000000000003,21,0.0,0.0,0.0,0.0,0.0,5.0
1777240489.213211,0.05,0.019909909909909904,19.909909909909903,60.1801801801802,37.78132180002285,optimization,12,6,0.0,0.41000000000000003,21,0.0,0.0,0.0,0.0,0.0,5.0
1777240540.403766,0.05,0.037567567567567565,37.567567567567565,24.864864864864874,37.571264199970756,optimization,13,17,0.0,0.438,17,0.6000000000000001,0.0,0.0,0.0,0.0,5.0
1777240581.411422,0.05,0.035585585585585576,35.58558558558558,28.82882882882885,37.179304799996316,optimization,14,17,0.0,0.438,17,0.6000000000000001,0.0,0.0,0.0,0.0,5.0
1777240626.7988737,0.05,0.04549549549549551,45.49549549549551,9.009009009008986,29.567211400019005,optimization,15,17,2.6,0.5,2,3.7,0.0015,0.0,0.0,0.0,5.0
1777240657.8213005,0.05,0.042252252252252265,42.25225225225226,15.495495495495476,29.988104700052645,optimization,16,17,2.6,0.5,2,3.7,0.0015,0.0,0.0,0.0,5.0
1777240720.8396587,0.05,0.05488288288288288,54.88288288288288,9.765765765765751,46.40681070002029,optimization,17,18,2.3000000000000003,0.377,22,3.7,0.0078000000000000005,0.0,0.0,0.0,5.0
1777240768.1722052,0.05,0.05414414414414414,54.14414414414414,8.288288288288273,46.13919410004746,optimization,18,18,2.3000000000000003,0.377,22,3.7,0.0078000000000000005,0.0,0.0,0.0,5.0
1777240823.4483602,0.05,0.047117117117117115,47.11711711711712,5.765765765765776,37.21482880000258,optimization,19,13,3.3000000000000003,0.277,19,2.0,0.0,0.0,0.0,0.0,5.0
1777240862.0142114,0.05,0.0472972972972973,47.2972972972973,5.405405405405405,36.98041190003278,optimization,20,13,3.3000000000000003,0.277,19,2.0,0.0,0.0,0.0,0.0,5.0
1777240925.4255323,0.05,0.047657657657657664,47.657657657657666,4.684684684684679,46.991469399945345,optimization,21,14,3.5,0.42,20,5.5,0.0,0.0,0.0,0.0,5.0
1777240974.6150558,0.05,0.047837837837837814,47.83783783783782,4.324324324324377,46.98059390002163,optimization,22,14,3.5,0.42,20,5.5,0.0,0.0,0.0,0.0,5.0
1777241020.2130234,0.05,0.05084684684684684,50.84684684684684,1.693693693693668,25.17888869997114,optimization,23,12,3.5,0.435,2,0.0,0.0103,0.0,0.0,0.0,5.0
1777241047.3458989,0.05,0.0508108108108108,50.8108108108108,1.6216216216215913,25.310941400006413,optimization,24,12,3.5,0.435,2,0.0,0.0103,0.0,0.0,0.0,5.0
1777241095.020487,0.05,0.05765765765765765,57.65765765765765,15.315315315315297,25.387180100020487,optimization,25,13,3.1,0.5,2,0.0,0.0198,0.0,0.0,0.0,5.0
1777241122.022561,0.05,0.058288288288288276,58.28828828828828,16.576576576576546,25.18726679997053,optimization,26,13,3.1,0.5,2,0.0,0.0198,0.0,0.0,0.0,5.0
1777241170.0157042,0.05,0.054216216216216195,54.216216216216196,8.432432432432385,25.781385399983265,optimization,27,8,4.5,0.355,2,0.0,0.0137,0.0,0.0,0.0,5.0
1777241198.2372403,0.05,0.05360360360360361,53.60360360360361,7.207207207207217,26.002778899972327,optimization,28,8,4.5,0.355,2,0.0,0.0137,0.0,0.0,0.0,5.0
